filename,status,action,directive,ok_to_go,recapture_required,enhancement_required,overall_score,score_focus,score_brightness,score_contrast,score_noise,score_fov,score_illumination,score_artifact,flag_focus,flag_brightness,flag_contrast,flag_noise,flag_fov,flag_illumination,flag_artifact,is_hard_failure,hard_failure_reasons,rationale,raw_laplacian_var,raw_tenengrad,scale_normalized_laplacian,focus_lap_subscore,focus_ten_subscore,focus_score,focus_flag,raw_brightness_mean,raw_dark_pixel_pct,raw_bright_pixel_pct,brightness_base_score,dark_penalty,bright_penalty,brightness_score,brightness_flag,raw_contrast_rms,raw_contrast_spread,contrast_score,contrast_flag,raw_noise_residual_std,raw_noise_decoupled_std,raw_noise_local_var_mean,noise_score,noise_flag,raw_fov_coverage,raw_fov_circularity,raw_fov_retinal_area,fov_completeness_ratio,fov_circularity_subscore,fov_completeness_subscore,fov_area_subscore,fov_score,fov_flag,raw_illum_map_cov,raw_illum_center_edge_ratio,illum_cov_subscore,illum_ratio_subscore,illumination_score,illumination_flag,raw_artifact_sat_pixel_pct,raw_artifact_glare_blob_count,artifact_score,artifact_flag
aptos_000c1434d8d7.png,NON-CRITICAL,OK TO GO,OK TO GO,True,False,False,0.8572,0.6939,0.8138,0.7936,0.9265,1.0,1.0,1.0,BORDERLINE_BLUR,MILD_UNDEREXPOSURE,MILD_LOW_CONTRAST,LOW_NOISE,COMPLETE_FOV,UNIFORM_ILLUMINATION,CLEAN_NO_ARTIFACTS,False,None,"All 7 quality dimensions within acceptable clinical limits (Overall Score = 0.857 >= 0.7, Min Dimension = 0.694)",7.739500045776367,97.44786834716795,76.34,0.9775,0.2685,0.6939,BORDERLINE_BLUR,67.99,0.753,0.0,0.8138,0.0,0.0,0.8138,MILD_UNDEREXPOSURE,14.12,35.0,0.7936,MILD_LOW_CONTRAST,0.809,0.809,3.08,0.9265,LOW_NOISE,0.7508,0.9344,5157188,1.4392,1.0,1.0,1.0,1.0,COMPLETE_FOV,0.1514,1.103,1.0,1.0,1.0,UNIFORM_ILLUMINATION,0.0,0,1.0,CLEAN_NO_ARTIFACTS
aptos_0ad7f631dedb.png,NON-CRITICAL,OK TO GO,OK TO GO,True,False,False,0.87,0.5959,0.9638,0.8939,0.9233,1.0,1.0,1.0,BORDERLINE_BLUR,ACCEPTABLE_EXPOSURE,MILD_LOW_CONTRAST,LOW_NOISE,COMPLETE_FOV,UNIFORM_ILLUMINATION,CLEAN_NO_ARTIFACTS,False,None,"All 7 quality dimensions within acceptable clinical limits (Overall Score = 0.870 >= 0.7, Min Dimension = 0.596)",8.29942798614502,130.4087371826172,46.2,0.736,0.3858,0.5959,BORDERLINE_BLUR,94.83,0.719,0.0,0.9638,0.0,0.0,0.9638,ACCEPTABLE_EXPOSURE,15.04,37.0,0.8939,MILD_LOW_CONTRAST,0.843,0.843,4.83,0.9233,LOW_NOISE,0.8389,0.9262,3518476,1.4865,1.0,1.0,1.0,1.0,COMPLETE_FOV,0.1232,1.067,1.0,1.0,1.0,UNIFORM_ILLUMINATION,0.0,0,1.0,CLEAN_NO_ARTIFACTS
aptos_15f8d769935c.png,NON-CRITICAL,OK TO GO,OK TO GO,True,False,False,0.9051,0.9483,0.8758,1.0,0.3665,1.0,1.0,1.0,GOOD,ACCEPTABLE_EXPOSURE,GOOD_CONTRAST,MODERATE_NOISE,COMPLETE_FOV,UNIFORM_ILLUMINATION,CLEAN_NO_ARTIFACTS,False,None,"All 7 quality dimensions within acceptable clinical limits (Overall Score = 0.905 >= 0.7, Min Dimension = 0.366)",63.60749053955078,849.641357421875,66.88,0.9138,1.0,0.9483,GOOD,106.07,4.123,0.0,0.8794,0.0037,0.0,0.8758,ACCEPTABLE_EXPOSURE,28.01,63.0,1.0,GOOD_CONTRAST,2.205,2.205,31.96,0.3665,MODERATE_NOISE,0.8235,0.9884,907916,1.0485,1.0,1.0,1.0,1.0,COMPLETE_FOV,0.2259,1.177,1.0,1.0,1.0,UNIFORM_ILLUMINATION,0.0,0,1.0,CLEAN_NO_ARTIFACTS
aptos_1efa5d443707.png,BORDERLINE,ENHANCEMENT,ENHANCEMENT,False,False,True,0.8092,0.3033,0.9311,1.0,0.9368,1.0,1.0,1.0,SEVERE_BLUR,ACCEPTABLE_EXPOSURE,GOOD_CONTRAST,LOW_NOISE,COMPLETE_FOV,UNIFORM_ILLUMINATION,CLEAN_NO_ARTIFACTS,False,None,Intermediate quality suitable for enhancement (Focus/Defocus; Overall Score = 0.809),5.436552047729492,119.0719985961914,17.63,0.2727,0.3492,0.3033,SEVERE_BLUR,80.82,1.132,0.0,0.9311,0.0,0.0,0.9311,ACCEPTABLE_EXPOSURE,18.4,49.0,1.0,GOOD_CONTRAST,0.695,0.695,4.98,0.9368,LOW_NOISE,0.7224,0.9453,1633203,1.3835,1.0,1.0,1.0,1.0,COMPLETE_FOV,0.2368,1.253,1.0,1.0,1.0,UNIFORM_ILLUMINATION,0.0,0,1.0,CLEAN_NO_ARTIFACTS
aptos_2927665214e1.png,NON-CRITICAL,OK TO GO,OK TO GO,True,False,False,0.9231,0.8782,0.9958,1.0,0.542,1.0,1.0,1.0,GOOD,ACCEPTABLE_EXPOSURE,GOOD_CONTRAST,MODERATE_NOISE,COMPLETE_FOV,UNIFORM_ILLUMINATION,CLEAN_NO_ARTIFACTS,False,None,"All 7 quality dimensions within acceptable clinical limits (Overall Score = 0.923 >= 0.7, Min Dimension = 0.542)",49.88995361328125,636.1874389648438,52.46,0.797,1.0,0.8782,GOOD,90.56,3.209,0.0,0.9958,0.0,0.0,0.9958,ACCEPTABLE_EXPOSURE,22.28,54.0,1.0,GOOD_CONTRAST,1.954,1.954,23.57,0.542,MODERATE_NOISE,0.8159,0.9904,899488,1.0388,1.0,1.0,1.0,1.0,COMPLETE_FOV,0.2117,1.15,1.0,1.0,1.0,UNIFORM_ILLUMINATION,0.0,0,1.0,CLEAN_NO_ARTIFACTS
aptos_34723fae6475.png,NON-CRITICAL,OK TO GO,OK TO GO,True,False,False,0.9,0.6964,0.899,1.0,0.9108,1.0,1.0,1.0,BORDERLINE_BLUR,ACCEPTABLE_EXPOSURE,GOOD_CONTRAST,LOW_NOISE,COMPLETE_FOV,UNIFORM_ILLUMINATION,CLEAN_NO_ARTIFACTS,False,None,"All 7 quality dimensions within acceptable clinical limits (Overall Score = 0.900 >= 0.7, Min Dimension = 0.696)",11.384504318237305,138.1650848388672,63.37,0.888,0.409,0.6964,BORDERLINE_BLUR,76.53,0.675,0.0,0.899,0.0,0.0,0.899,ACCEPTABLE_EXPOSURE,16.36,44.0,1.0,GOOD_CONTRAST,0.982,0.982,4.05,0.9108,LOW_NOISE,0.838,0.9277,3514552,1.4848,1.0,1.0,1.0,1.0,COMPLETE_FOV,0.2086,1.287,1.0,1.0,1.0,UNIFORM_ILLUMINATION,0.0,0,1.0,CLEAN_NO_ARTIFACTS
aptos_3f73c91b7e32.png,NON-CRITICAL,OK TO GO,OK TO GO,True,False,False,0.8367,0.7265,0.9121,0.5166,0.9074,1.0,1.0,1.0,GOOD,ACCEPTABLE_EXPOSURE,MILD_LOW_CONTRAST,LOW_NOISE,COMPLETE_FOV,UNIFORM_ILLUMINATION,CLEAN_NO_ARTIFACTS,False,None,"All 7 quality dimensions within acceptable clinical limits (Overall Score = 0.837 >= 0.7, Min Dimension = 0.517)",12.23192024230957,146.48480224609375,68.09,0.9225,0.4326,0.7265,GOOD,78.27,0.696,0.0,0.9121,0.0,0.0,0.9121,ACCEPTABLE_EXPOSURE,11.61,31.0,0.5166,MILD_LOW_CONTRAST,1.019,1.019,4.23,0.9074,LOW_NOISE,0.8385,0.9275,3516662,1.4857,1.0,1.0,1.0,1.0,COMPLETE_FOV,0.0988,1.034,1.0,1.0,1.0,UNIFORM_ILLUMINATION,0.0,0,1.0,CLEAN_NO_ARTIFACTS
aptos_496155f71d0a.png,NON-CRITICAL,OK TO GO,OK TO GO,True,False,False,0.9222,0.9042,0.9865,1.0,0.4819,1.0,1.0,1.0,GOOD,ACCEPTABLE_EXPOSURE,GOOD_CONTRAST,MODERATE_NOISE,COMPLETE_FOV,UNIFORM_ILLUMINATION,CLEAN_NO_ARTIFACTS,False,None,"All 7 quality dimensions within acceptable clinical limits (Overall Score = 0.922 >= 0.7, Min Dimension = 0.482)",54.59482192993164,614.8362426757812,57.4,0.8404,1.0,0.9042,GOOD,88.2,2.919,0.0,0.9865,0.0,0.0,0.9865,ACCEPTABLE_EXPOSURE,21.71,49.0,1.0,GOOD_CONTRAST,2.04,2.04,21.45,0.4819,MODERATE_NOISE,0.8122,0.9925,895413,1.0341,1.0,1.0,1.0,1.0,COMPLETE_FOV,0.2247,1.057,1.0,1.0,1.0,UNIFORM_ILLUMINATION,0.0,0,1.0,CLEAN_NO_ARTIFACTS
aptos_51aa3361294c.png,CRITICAL,RECAPTURE,RECAPTURE,False,True,False,0.7217,0.2712,0.5693,1.0,0.9174,0.9839,0.7916,1.0,SEVERE_BLUR,MILD_UNDEREXPOSURE,GOOD_CONTRAST,LOW_NOISE,COMPLETE_FOV,MODERATE_UNEVEN_ILLUMINATION,CLEAN_NO_ARTIFACTS,True,"Severe Defocus Blur (NormLap=6.0 < 8.0, RawLap=9.34, Tenengrad=269.5)","Hard Failure Triggered: Severe Defocus Blur (NormLap=6.0 < 8.0, RawLap=9.34, Tenengrad=269.5)",9.343079566955566,269.4761962890625,5.98,0.0,0.6779,0.2712,SEVERE_BLUR,54.4,0.863,0.0,0.5693,0.0,0.0,0.5693,MILD_UNDEREXPOSURE,18.24,49.0,1.0,GOOD_CONTRAST,0.908,0.908,11.91,0.9174,LOW_NOISE,0.8026,0.9574,403599,1.3631,1.0,1.0,0.9197,0.9839,COMPLETE_FOV,0.3451,0.928,0.7373,0.8925,0.7916,MODERATE_UNEVEN_ILLUMINATION,0.0,0,1.0,CLEAN_NO_ARTIFACTS
aptos_5b47043942f4.png,NON-CRITICAL,OK TO GO,OK TO GO,True,False,False,0.8555,0.6457,0.9902,1.0,0.6704,0.9085,0.9225,1.0,BORDERLINE_BLUR,ACCEPTABLE_EXPOSURE,GOOD_CONTRAST,ACCEPTABLE_NOISE,COMPLETE_FOV,UNIFORM_ILLUMINATION,CLEAN_NO_ARTIFACTS,False,None,"All 7 quality dimensions within acceptable clinical limits (Overall Score = 0.856 >= 0.7, Min Dimension = 0.646)",36.63005828857422,656.6326904296875,23.43,0.4095,1.0,0.6457,BORDERLINE_BLUR,88.7,1.103,0.045,0.9902,0.0,0.0,0.9902,ACCEPTABLE_EXPOSURE,24.31,66.0,1.0,GOOD_CONTRAST,1.743,1.743,32.01,0.6704,ACCEPTABLE_NOISE,0.4801,0.9965,241433,0.8154,1.0,0.8789,0.7845,0.9085,COMPLETE_FOV,0.2877,1.031,0.8807,1.0,0.9225,UNIFORM_ILLUMINATION,0.0,0,1.0,CLEAN_NO_ARTIFACTS
